iter	Passed	Remaining
0	141	141492
1	142	71191
2	143	47748
3	144	36016
4	145	28994
5	146	24294
6	147	20944
7	148	18428
8	149	16469
9	150	14904
10	153	13789
11	154	12736
12	155	11843
13	157	11073
14	158	10414
15	159	9837
16	161	9320
17	162	8857
18	163	8443
19	176	8672
20	177	8291
21	178	7941
22	179	7618
23	180	7329
24	181	7059
25	182	6826
26	183	6599
27	184	6407
28	185	6210
29	186	6027
30	187	5855
31	188	5695
32	189	5544
33	190	5402
34	191	5267
35	191	5140
36	193	5035
37	194	4930
38	196	4831
39	197	4730
40	198	4643
41	199	4552
42	200	4460
43	201	4369
44	201	4282
45	202	4207
46	203	4131
47	204	4056
48	205	3985
49	206	3916
50	206	3850
51	208	3800
52	209	3741
53	210	3681
54	210	3622
55	211	3566
56	212	3517
57	213	3464
58	214	3413
59	214	3364
60	215	3317
61	216	3271
62	216	3226
63	217	3186
64	218	3148
65	219	3108
66	220	3068
67	221	3029
68	222	3001
69	223	2967
70	224	2932
71	225	2900
72	225	2867
73	226	2834
74	227	2802
75	227	2769
76	228	2738
77	229	2706
78	229	2676
79	230	2647
80	230	2618
81	231	2591
82	231	2560
83	232	2534
84	232	2508
85	233	2482
86	234	2457
87	234	2432
88	235	2409
89	236	2394
90	237	2372
91	238	2352
92	239	2332
93	239	2311
94	240	2291
95	241	2271
96	241	2252
97	242	2233
98	243	2215
99	244	2196
100	244	2179
101	245	2161
102	246	2144
103	246	2127
104	247	2110
105	248	2092
106	248	2076
107	261	2158
108	261	2141
109	262	2124
110	263	2107
111	263	2091
112	264	2075
113	265	2067
114	267	2056
115	268	2042
116	268	2027
117	269	2013
118	270	2000
119	272	1996
120	273	1984
121	273	1969
122	274	1958
123	275	1944
124	276	1932
125	276	1919
126	277	1905
127	277	1893
128	278	1882
129	280	1875
130	281	1866
131	282	1855
132	283	1846
133	283	1835
134	284	1823
135	285	1813
136	286	1802
137	286	1792
138	287	1782
139	288	1771
140	289	1761
141	289	1749
142	290	1738
143	290	1728
144	291	1718
145	292	1710
146	293	1700
147	295	1699
148	296	1692
149	297	1683
150	297	1674
151	299	1668
152	300	1660
153	300	1651
154	301	1642
155	301	1633
156	302	1624
157	303	1615
158	303	1607
159	304	1600
160	305	1590
161	306	1583
162	307	1578
163	308	1571
164	309	1567
